start_time,average
2025-06-19 04:00:00,923.7016666666666
2025-06-19 15:00:00,952.19
2025-06-19 14:00:00,944.7266666666667
2025-06-19 08:00:00,1001.6716666666667
2025-06-19 10:00:00,940.4699999999999
2025-06-19 23:00:00,1048.3066666666666
2025-06-19 07:00:00,987.435
2025-06-19 01:00:00,979.1066666666667
2025-06-19 00:00:00,994.7466666666666
2025-06-19 05:00:00,987.6166666666667
2025-06-19 13:00:00,941.3933333333333
2025-06-19 12:00:00,972.5166666666667
2025-06-19 02:00:00,979.5300000000001
2025-06-19 16:00:00,988.4133333333334
2025-06-19 17:00:00,899.66
2025-06-19 22:00:00,972.09
2025-06-19 21:00:00,1026.22
2025-06-19 03:00:00,982.4333333333333
2025-06-19 19:00:00,949.3349999999999
2025-06-19 09:00:00,979.38
2025-06-19 18:00:00,1004.2
2025-06-19 20:00:00,915.3533333333332
2025-06-19 11:00:00,929.8866666666667
2025-06-19 06:00:00,1013.7283333333332
